index,qubits,sys_noisy,sys_ideal,ideal,noisy
0,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.09125000238418579, 0.6622499823570251, 0.2877500057220459, 0.023000000044703484]","[0.0, 0.0, 0.0, 0.0, 0.115234375, 0.3623046875, 0.5107421875, 0.01953125]"
1,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.43849998712539673, 0.3472500145435333, 0.5195000171661377, 0.13449999690055847]","[0.0, 0.0, 0.0, 0.0, 0.5400390625, 0.4931640625, 0.478515625, 0.1640625]"
2,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4595000147819519, 0.5332499742507935, 0.5005000233650208, 0.5507500171661377]","[0.0, 0.0, 0.0, 0.0, 0.47265625, 0.44140625, 0.490234375, 0.5244140625]"
3,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5427500009536743, 0.25824999809265137, 0.49424999952316284, 0.2887499928474426]","[0.0, 0.0, 0.0, 0.0, 0.474609375, 0.39453125, 0.48046875, 0.4052734375]"
4,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.36000001430511475, 0.6642500162124634, 0.3072499930858612, 0.5954999923706055]","[0.0, 0.0, 0.0, 0.0, 0.4765625, 0.541015625, 0.5390625, 0.5205078125]"
5,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.12825000286102295, 0.0, 0.4934999942779541, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.150390625, 0.013671875, 0.5029296875, 0.00390625]"
6,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.24449999630451202, 0.6320000290870667, 0.49024999141693115, 0.7020000219345093]","[0.0, 0.0, 0.0, 0.0, 0.498046875, 0.34765625, 0.4990234375, 0.49609375]"
7,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5950000286102295, 0.5492500066757202, 0.34975001215934753, 0.32249999046325684]","[0.0, 0.0, 0.0, 0.0, 0.49609375, 0.34375, 0.494140625, 0.517578125]"
8,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.7404999732971191, 0.5404999852180481, 0.5607500076293945, 0.30524998903274536]","[0.0, 0.0, 0.0, 0.0, 0.494140625, 0.3173828125, 0.5029296875, 0.50390625]"
9,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5377500057220459, 0.20900000631809235, 0.46175000071525574, 0.5210000276565552]","[0.0, 0.0, 0.0, 0.0, 0.53515625, 0.5029296875, 0.484375, 0.4697265625]"
10,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.4794921875, 0.3271484375, 0.0107421875, 0.017578125]"
11,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.6012499928474426, 0.5985000133514404, 0.5642499923706055, 0.4255000054836273]","[0.0, 0.0, 0.0, 0.0, 0.4892578125, 0.3701171875, 0.484375, 0.4599609375]"
12,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4412499964237213, 0.5292500257492065, 0.05575000122189522, 0.6869999766349792]","[0.0, 0.0, 0.0, 0.0, 0.46875, 0.5888671875, 0.0869140625, 0.69921875]"
13,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.25049999356269836, 0.8694999814033508, 0.4947499930858612, 0.5022500157356262]","[0.0, 0.0, 0.0, 0.0, 0.5205078125, 0.4912109375, 0.5087890625, 0.484375]"
14,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5724999904632568, 0.5172500014305115, 0.5017499923706055, 0.5914999842643738]","[0.0, 0.0, 0.0, 0.0, 0.501953125, 0.49609375, 0.501953125, 0.462890625]"
15,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.640999972820282, 0.4129999876022339, 0.5354999899864197, 0.453000009059906]","[0.0, 0.0, 0.0, 0.0, 0.48046875, 0.486328125, 0.5830078125, 0.4912109375]"
16,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5174999833106995, 0.5242499709129333, 0.4934999942779541, 0.4402500092983246]","[0.0, 0.0, 0.0, 0.0, 0.49609375, 0.4951171875, 0.517578125, 0.4970703125]"
17,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5992500185966492, 0.03125, 0.6524999737739563, 0.5149999856948853]","[0.0, 0.0, 0.0, 0.0, 0.505859375, 0.44921875, 0.466796875, 0.478515625]"
18,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.6257500052452087, 0.2849999964237213, 0.2199999988079071, 0.31200000643730164]","[0.0, 0.0, 0.0, 0.0, 0.5068359375, 0.390625, 0.5205078125, 0.498046875]"
19,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4189999997615814, 0.23549999296665192, 0.6837499737739563, 0.46825000643730164]","[0.0, 0.0, 0.0, 0.0, 0.4990234375, 0.3427734375, 0.4931640625, 0.5166015625]"
20,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0283203125, 0.015625, 0.0078125, 0.0107421875]"
21,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4964999854564667, 0.7910000085830688, 0.0, 0.4672499895095825]","[0.0, 0.0, 0.0, 0.0, 0.5068359375, 0.78515625, 0.0107421875, 0.4755859375]"
22,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5047500133514404, 0.5072500109672546, 0.328000009059906, 0.5440000295639038]","[0.0, 0.0, 0.0, 0.0, 0.5029296875, 0.375, 0.49609375, 0.47265625]"
23,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.7289999723434448, 0.0, 0.8422499895095825, 0.48225000500679016]","[0.0, 0.0, 0.0, 0.0, 0.49609375, 0.3564453125, 0.5234375, 0.4736328125]"
24,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5034999847412109, 1.0, 0.8044999837875366, 0.09600000083446503]","[0.0, 0.0, 0.0, 0.0, 0.4912109375, 0.3447265625, 0.5048828125, 0.08203125]"
25,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.8230000138282776, 0.30524998903274536, 0.3089999854564667, 0.6215000152587891]","[0.0, 0.0, 0.0, 0.0, 0.513671875, 0.359375, 0.505859375, 0.7021484375]"
26,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.7667499780654907, 0.5952500104904175, 0.5972499847412109, 0.5440000295639038]","[0.0, 0.0, 0.0, 0.0, 0.48828125, 0.490234375, 0.5087890625, 0.5146484375]"
27,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.49950000643730164, 0.25600001215934753, 0.30125001072883606, 0.4567500054836273]","[0.0, 0.0, 0.0, 0.0, 0.4833984375, 0.541015625, 0.4931640625, 0.3515625]"
28,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.777999997138977, 0.2939999997615814, 0.624750018119812, 0.5224999785423279]","[0.0, 0.0, 0.0, 0.0, 0.4873046875, 0.50390625, 0.4765625, 0.494140625]"
29,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.6420000195503235, 0.4410000145435333, 0.445499986410141, 0.543749988079071]","[0.0, 0.0, 0.0, 0.0, 0.4931640625, 0.3525390625, 0.51953125, 0.4814453125]"
30,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5177500247955322, 0.2485000044107437, 0.5899999737739563, 0.8362500071525574]","[0.0, 0.0, 0.0, 0.0, 0.4873046875, 0.4130859375, 0.4990234375, 0.3876953125]"
31,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.40575000643730164, 0.35074999928474426, 0.6142500042915344, 0.5180000066757202]","[0.0, 0.0, 0.0, 0.0, 0.5068359375, 0.4814453125, 0.498046875, 0.478515625]"
32,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.2382500022649765, 0.840499997138977, 0.6349999904632568, 0.3542500138282776]","[0.0, 0.0, 0.0, 0.0, 0.474609375, 0.49609375, 0.5107421875, 0.478515625]"
33,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.49775001406669617]","[0.0, 0.0, 0.0, 0.0, 0.478515625, 0.3447265625, 0.9921875, 0.482421875]"
34,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.7574999928474426, 0.5077499747276306, 0.7369999885559082, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.474609375, 0.4755859375, 0.74609375, 0.009765625]"
35,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5339999794960022, 0.46549999713897705, 0.5304999947547913, 0.6065000295639038]","[0.0, 0.0, 0.0, 0.0, 0.486328125, 0.3544921875, 0.5439453125, 0.50390625]"
36,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5847499966621399, 0.590499997138977, 0.609749972820282, 0.7149999737739563]","[0.0, 0.0, 0.0, 0.0, 0.49609375, 0.3369140625, 0.5029296875, 0.4345703125]"
37,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4117499887943268, 0.6690000295639038, 0.4467499852180481, 0.596750020980835]","[0.0, 0.0, 0.0, 0.0, 0.5078125, 0.4267578125, 0.501953125, 0.47265625]"
38,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.8105000257492065, 0.10050000250339508, 0.390500009059906, 0.1547500044107437]","[0.0, 0.0, 0.0, 0.0, 0.787109375, 0.109375, 0.3916015625, 0.1552734375]"
39,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5762500166893005, 0.625, 0.4752500057220459, 0.3804999887943268]","[0.0, 0.0, 0.0, 0.0, 0.4814453125, 0.6328125, 0.4833984375, 0.490234375]"
40,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.47999998927116394, 0.5669999718666077, 0.6162499785423279, 0.6012499928474426]","[0.0, 0.0, 0.0, 0.0, 0.494140625, 0.3388671875, 0.5048828125, 0.513671875]"
41,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.500249981880188, 0.49950000643730164, 0.6899999976158142, 0.4909999966621399]","[0.0, 0.0, 0.0, 0.0, 0.48828125, 0.4677734375, 0.4970703125, 0.5302734375]"
42,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5170000195503235, 0.24449999630451202, 0.8220000267028809, 0.6617500185966492]","[0.0, 0.0, 0.0, 0.0, 0.4736328125, 0.5478515625, 0.5078125, 0.4833984375]"
