qubits,ideal,noisy
4,"[0.0001,0.0001,0.0001,0.0001,0.0913,0.6622,0.2878,0.023]","[0.0001,0.0001,0.0001,0.0001,0.1152,0.3623,0.5107,0.0195]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4385,0.3473,0.5195,0.1345]","[0.0001,0.0001,0.0001,0.0001,0.5400,0.4932,0.4785,0.1641]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4595,0.5332,0.5005,0.5508]","[0.0001,0.0001,0.0001,0.0001,0.4727,0.4414,0.4902,0.5244]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5428,0.2582,0.4942,0.2887]","[0.0001,0.0001,0.0001,0.0001,0.4746,0.3945,0.4805,0.4053]"
4,"[0.0001,0.0001,0.0001,0.0001,0.36,0.6643,0.3072,0.5955]","[0.0001,0.0001,0.0001,0.0001,0.4766,0.5410,0.5391,0.5205]"
4,"[0.0001,0.0001,0.0001,0.0001,0.1283,0.0001,0.4935,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.1504,0.0137,0.5029,0.0039]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2445,0.632,0.4902,0.702]","[0.0001,0.0001,0.0001,0.0001,0.4980,0.3477,0.4990,0.4961]"
4,"[0.0001,0.0001,0.0001,0.0001,0.595,0.5493,0.3498,0.3225]","[0.0001,0.0001,0.0001,0.0001,0.4961,0.3438,0.4941,0.5176]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7405,0.5405,0.5608,0.3052]","[0.0001,0.0001,0.0001,0.0001,0.4941,0.3174,0.5029,0.5039]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5378,0.209,0.4618,0.521]","[0.0001,0.0001,0.0001,0.0001,0.5352,0.5029,0.4844,0.4697]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6012,0.5985,0.5642,0.4255]","[0.0001,0.0001,0.0001,0.0001,0.4893,0.3701,0.4844,0.46]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4412,0.5293,0.0558,0.687]","[0.0001,0.0001,0.0001,0.0001,0.4688,0.5889,0.0869,0.6992]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2505,0.8695,0.4947,0.5023]","[0.0001,0.0001,0.0001,0.0001,0.5205,0.4912,0.5088,0.4844]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5725,0.5173,0.5017,0.5915]","[0.0001,0.0001,0.0001,0.0001,0.502,0.4961,0.502,0.4629]"
4,"[0.0001,0.0001,0.0001,0.0001,0.641,0.413,0.5355,0.453]","[0.0001,0.0001,0.0001,0.0001,0.4805,0.4863,0.5830,0.4912]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5175,0.5242,0.4935,0.4403]","[0.0001,0.0001,0.0001,0.0001,0.4961,0.4951,0.5176,0.4971]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5993,0.0312,0.6525,0.515]","[0.0001,0.0001,0.0001,0.0001,0.5059,0.4492,0.4668,0.4785]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6258,0.285,0.22,0.312]","[0.0001,0.0001,0.0001,0.0001,0.5068,0.3906,0.5205,0.4980]"
4,"[0.0001,0.0001,0.0001,0.0001,0.419,0.2355,0.6837,0.4683]","[0.0001,0.0001,0.0001,0.0001,0.4990,0.3428,0.4932,0.5166]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4965,0.791,0.0001,0.4672]","[0.0001,0.0001,0.0001,0.0001,0.5068,0.7852,0.0107,0.4756]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5048,0.5073,0.328,0.544]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.375,0.4961,0.4727]"
4,"[0.0001,0.0001,0.0001,0.0001,0.729,0.0001,0.8422,0.4823]","[0.0001,0.0001,0.0001,0.0001,0.4961,0.3564,0.5234,0.4736]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5035,1.,0.8045,0.096]","[0.0001,0.0001,0.0001,0.0001,0.4912,0.3447,0.5049,0.0820]"
4,"[0.0001,0.0001,0.0001,0.0001,0.823,0.3052,0.309,0.6215]","[0.0001,0.0001,0.0001,0.0001,0.5137,0.3594,0.5059,0.7021]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7667,0.5953,0.5972,0.544]","[0.0001,0.0001,0.0001,0.0001,0.4883,0.4902,0.5088,0.5146]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4995,0.256,0.3013,0.4568]","[0.0001,0.0001,0.0001,0.0001,0.4834,0.5410,0.4932,0.3516]"
4,"[0.0001,0.0001,0.0001,0.0001,0.778,0.294,0.6248,0.5225]","[0.0001,0.0001,0.0001,0.0001,0.4873,0.5039,0.4766,0.4941]"
4,"[0.0001,0.0001,0.0001,0.0001,0.642,0.441,0.4455,0.5437]","[0.0001,0.0001,0.0001,0.0001,0.4932,0.3525,0.5195,0.4814]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5178,0.2485,0.59,0.8363]","[0.0001,0.0001,0.0001,0.0001,0.4873,0.4131,0.4990,0.3877]"
