x,y,v
0,0,1
0,1,0
0,2,1
0,3,0
0,4,0
0,5,1
0,6,0
0,7,0
0,8,1
0,9,0
0,10,1
0,11,0
0,12,1
0,13,0
0,14,0
0,15,1
0,16,1
0,17,0
0,18,1
0,19,1
0,20,0
0,21,1
0,22,1
0,23,0
0,24,0
0,25,1
0,26,1
0,27,0
0,28,1
0,29,1
0,30,1
0,31,1
0,32,1
0,33,0
0,34,1
0,35,0
0,36,0
0,37,0
0,38,0
0,39,1
0,40,1
0,41,1
0,42,1
0,43,0
0,44,0
0,45,0
0,46,1
0,47,1
0,48,1
0,49,1
1,0,1
1,1,0
1,2,1
1,3,0
1,4,1
1,5,1
1,6,1
1,7,1
1,8,0
1,9,0
1,10,1
1,11,0
1,12,1
1,13,0
1,14,0
1,15,1
1,16,0
1,17,0
1,18,0
1,19,1
1,20,0
1,21,0
1,22,1
1,23,0
1,24,0
1,25,0
1,26,1
1,27,1
1,28,0
1,29,1
1,30,0
1,31,1
1,32,1
1,33,0
1,34,1
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,1
1,41,0
1,42,1
1,43,0
1,44,0
1,45,0
1,46,1
1,47,1
1,48,1
1,49,1
2,1,1
2,1,0
2,2,1
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,1
2,10,1
2,11,1
2,12,1
2,13,0
2,14,1
2,15,1
2,16,0
2,17,1
2,18,0
2,19,0
2,20,0
2,21,1
2,22,1
2,23,0
2,24,1
2,25,1
2,26,1
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,1
2,33,0
2,34,1
2,35,0
2,36,0
2,37,1
2,38,1
2,39,1
2,40,1
2,41,0
2,42,1
2,43,0
2,44,0
2,45,0
2,46,0
2,47,0
2,48,1
2,49,1
3,0,1
3,0,1
3,2,1
3,3,0
3,4,0
3,5,1
3,6,1
3,7,0
3,8,1
3,9,1
3,00,1
3,01,1
3,02,1
3,03,0
3,04,1
3,05,1
3,06,0
3,07,1
3,08,0
3,09,1
3,20,1
3,21,0
3,22,1
3,23,0
3,24,1
3,25,0
3,26,0
3,27,1
3,28,0
3,29,0
3,30,0
3,31,0
3,32,1
3,33,0
3,34,0
3,35,0
3,36,1
3,37,0
3,38,1
3,39,1
3,40,1
3,41,1
3,42,1
3,43,0
3,44,0
3,45,1
3,46,1
3,47,0
3,48,1
3,49,1
4,0,0
4,1,1
4,2,1
4,3,0
4,4,1
4,5,0
4,6,1
4,7,0
4,8,1
4,9,0
4,10,1
4,11,1
4,12,1
4,13,0
4,14,0
4,15,0
4,16,1
4,17,1
4,18,1
4,19,0
4,20,1
4,21,0
4,22,1
4,23,0
4,24,0
4,25,0
4,26,1
4,27,0
4,28,0
4,29,1
4,30,0
4,31,1
4,32,1
4,33,0
4,34,0
4,35,0
4,36,0
4,37,1
4,38,1
4,39,1
4,40,0
4,41,1
4,42,1
4,43,0
4,44,0
4,45,1
4,46,0
4,47,0
4,48,0
4,49,1
5,0,1
5,1,1
5,2,1
5,3,0
5,4,0
5,5,1
5,6,0
5,7,0
5,8,1
5,9,0
5,10,0
5,11,0
5,12,1
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,1
5,20,0
5,21,0
5,22,1
5,23,0
5,24,1
5,25,1
5,26,1
5,27,1
5,28,0
5,29,0
5,30,1
5,31,1
5,32,1
5,33,0
5,34,1
5,35,1
5,36,0
5,37,1
5,38,0
5,39,0
5,40,1
5,41,1
5,42,1
5,43,0
5,44,0
5,45,0
5,46,0
5,47,1
5,48,1
5,49,0
6,0,0
6,1,1
6,2,1
6,3,0
6,4,0
6,5,0
6,6,0
6,7,1
6,8,1
6,9,0
6,10,1
6,11,1
6,12,1
6,13,0
6,14,1
6,15,0
6,16,1
6,17,1
6,18,0
6,19,0
6,20,0
6,21,0
6,22,1
6,23,0
6,24,0
6,25,0
6,26,0
6,27,1
6,28,0
6,29,0
6,30,0
6,31,1
6,32,1
6,33,0
6,34,1
6,35,1
6,36,0
6,37,0
6,38,1
6,39,0
6,40,1
6,41,0
6,42,1
6,43,0
6,44,1
6,45,1
6,46,1
6,47,1
6,48,0
6,49,1
7,0,0
7,1,1
7,2,1
7,3,0
7,4,1
7,5,1
7,6,1
7,7,1
7,8,1
7,9,0
7,10,1
7,11,0
7,12,1
7,13,0
7,14,1
7,15,1
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,1
7,22,1
7,23,0
7,24,0
7,25,1
7,26,1
7,27,0
7,28,0
7,29,1
7,30,1
7,31,0
7,32,1
7,33,0
7,34,0
7,35,0
7,36,0
7,37,0
7,38,1
7,39,0
7,40,0
7,41,1
7,42,1
7,43,0
7,44,0
7,45,0
7,46,1
7,47,0
7,48,0
7,49,0
8,0,1
8,1,0
8,2,1
8,3,0
8,4,1
8,5,1
8,6,1
8,7,1
8,8,0
8,9,0
8,10,1
8,11,1
8,12,1
8,13,0
8,14,1
8,15,0
8,16,0
8,17,0
8,18,1
8,19,1
8,20,1
8,21,1
8,22,1
8,23,0
8,24,1
8,25,0
8,26,1
8,27,1
8,28,0
8,29,1
8,30,1
8,31,1
8,32,1
8,33,0
8,34,0
8,35,0
8,36,1
8,37,0
8,38,1
8,39,0
8,40,0
8,41,0
8,42,1
8,43,0
8,44,0
8,45,1
8,46,0
8,47,1
8,48,1
8,49,0
9,0,1
9,1,1
9,2,1
9,3,0
9,4,1
9,5,0
9,6,0
9,7,0
9,8,1
9,9,1
9,10,0
9,11,1
9,12,1
9,13,0
9,14,0
9,15,1
9,16,0
9,17,1
9,18,0
9,19,1
9,20,1
9,21,1
9,22,1
9,23,0
9,24,1
9,25,1
9,26,0
9,27,0
9,28,1
9,29,1
9,30,1
9,31,1
9,32,1
9,33,0
9,34,0
9,35,1
9,36,0
9,37,1
9,38,1
9,39,0
9,40,1
9,41,0
9,42,1
9,43,0
9,44,0
9,45,1
9,46,1
9,47,0
9,48,1
9,49,1
10,0,0
10,1,1
10,2,1
10,3,0
10,4,0
10,5,0
10,6,1
10,7,0
10,8,0
10,9,0
10,10,0
10,11,1
10,12,1
10,13,0
10,14,1
10,15,1
10,16,0
10,17,0
10,18,0
10,19,1
10,20,1
10,21,0
10,22,1
10,23,0
10,24,0
10,25,1
10,26,1
10,27,0
10,28,1
10,29,1
10,30,0
10,31,1
10,32,1
10,33,0
10,34,0
10,35,0
10,36,1
10,37,0
10,38,1
10,39,1
10,40,0
10,41,0
10,42,1
10,43,0
10,44,1
10,45,1
10,46,0
10,47,0
10,48,1
10,49,0
11,0,1
11,1,0
11,2,1
11,3,0
11,4,0
11,5,1
11,6,1
11,7,1
11,8,0
11,9,0
11,10,1
11,11,1
11,12,1
11,13,0
11,14,1
11,15,0
11,16,0
11,17,1
11,18,1
11,19,1
11,20,0
11,21,0
11,22,1
11,23,0
11,24,0
11,25,1
11,26,1
11,27,1
11,28,0
11,29,0
11,30,1
11,31,1
11,32,1
11,33,0
11,34,1
11,35,1
11,36,1
11,37,0
11,38,0
11,39,1
11,40,0
11,41,1
11,42,1
11,43,0
11,44,0
11,45,1
11,46,0
11,47,0
11,48,1
11,49,0
12,1,0
12,1,1
12,2,1
12,3,0
12,4,1
12,5,1
12,6,0
12,7,0
12,8,1
12,9,1
12,10,0
12,11,0
12,12,1
12,13,0
12,14,0
12,15,0
12,16,0
12,17,0
12,18,1
12,19,0
12,20,0
12,21,1
12,22,1
12,23,0
12,24,0
12,25,0
12,26,1
12,27,0
12,28,0
12,29,1
12,30,0
12,31,0
12,32,1
12,33,0
12,34,1
12,35,1
12,36,0
12,37,1
12,38,0
12,39,0
12,40,0
12,41,1
12,42,1
12,43,0
12,44,1
12,45,1
12,46,1
12,47,1
12,48,0
12,49,1
13,0,0
13,0,1
13,2,1
13,3,0
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,0
13,00,0
13,01,0
13,02,1
13,03,0
13,04,1
13,05,0
13,06,0
13,07,0
13,08,1
13,09,0
13,20,1
13,21,0
13,22,1
13,23,0
13,24,0
13,25,0
13,26,1
13,27,0
13,28,1
13,29,1
13,30,1
13,31,0
13,32,1
13,33,0
13,34,1
13,35,0
13,36,1
13,37,1
13,38,0
13,39,1
13,40,0
13,41,0
13,42,1
13,43,0
13,44,0
13,45,0
13,46,1
13,47,1
13,48,0
13,49,0
14,0,0
14,1,1
14,2,1
14,3,0
14,4,1
14,5,1
14,6,0
14,7,0
14,8,1
14,9,1
14,10,0
14,11,0
14,12,1
14,13,0
14,14,0
14,15,1
14,16,1
14,17,0
14,18,1
14,19,0
14,20,0
14,21,1
14,22,1
14,23,0
14,24,1
14,25,0
14,26,0
14,27,0
14,28,1
14,29,0
14,30,1
14,31,0
14,32,1
14,33,0
14,34,1
14,35,0
14,36,1
14,37,0
14,38,0
14,39,1
14,40,0
14,41,1
14,42,1
14,43,0
14,44,1
14,45,0
14,46,1
14,47,0
14,48,1
14,49,0
15,0,1
15,1,1
15,2,1
15,3,0
15,4,1
15,5,0
15,6,1
15,7,0
15,8,1
15,9,0
15,10,1
15,11,0
15,12,1
15,13,0
15,14,1
15,15,1
15,16,1
15,17,0
15,18,0
15,19,0
15,20,1
15,21,1
15,22,1
15,23,0
15,24,0
15,25,1
15,26,0
15,27,0
15,28,1
15,29,0
15,30,1
15,31,1
15,32,1
15,33,0
15,34,0
15,35,1
15,36,1
15,37,0
15,38,1
15,39,1
15,40,0
15,41,1
15,42,1
15,43,0
15,44,0
15,45,1
15,46,1
15,47,1
15,48,1
15,49,1
16,0,1
16,1,1
16,2,1
16,3,0
16,4,1
16,5,0
16,6,1
16,7,1
16,8,0
16,9,1
16,10,0
16,11,1
16,12,1
16,13,0
16,14,0
16,15,0
16,16,0
16,17,1
16,18,0
16,19,1
16,20,1
16,21,1
16,22,1
16,23,0
16,24,0
16,25,1
16,26,1
16,27,1
16,28,1
16,29,1
16,30,0
16,31,0
16,32,1
16,33,0
16,34,0
16,35,1
16,36,1
16,37,1
16,38,0
16,39,0
16,40,0
16,41,0
16,42,1
16,43,0
16,44,1
16,45,1
16,46,0
16,47,0
16,48,1
16,49,1
17,0,1
17,1,0
17,2,1
17,3,0
17,4,0
17,5,1
17,6,0
17,7,0
17,8,0
17,9,1
17,10,1
17,11,1
17,12,1
17,13,0
17,14,1
17,15,0
17,16,1
17,17,1
17,18,0
17,19,0
17,20,0
17,21,0
17,22,1
17,23,0
17,24,0
17,25,0
17,26,0
17,27,1
17,28,0
17,29,0
17,30,0
17,31,0
17,32,1
17,33,0
17,34,0
17,35,0
17,36,0
17,37,0
17,38,1
17,39,0
17,40,0
17,41,0
17,42,1
17,43,0
17,44,1
17,45,1
17,46,1
17,47,1
17,48,1
17,49,0
18,0,0
18,1,1
18,2,1
18,3,0
18,4,1
18,5,0
18,6,1
18,7,1
18,8,1
18,9,1
18,10,1
18,11,1
18,12,1
18,13,0
18,14,1
18,15,0
18,16,0
18,17,1
18,18,1
18,19,1
18,20,1
18,21,1
18,22,1
18,23,0
18,24,1
18,25,1
18,26,1
18,27,0
18,28,0
18,29,1
18,30,1
18,31,1
18,32,1
18,33,0
18,34,0
18,35,1
18,36,1
18,37,0
18,38,0
18,39,1
18,40,0
18,41,1
18,42,1
18,43,0
18,44,1
18,45,0
18,46,0
18,47,0
18,48,0
18,49,1
19,0,1
19,1,0
19,2,1
19,3,0
19,4,1
19,5,0
19,6,1
19,7,0
19,8,1
19,9,0
19,10,1
19,11,1
19,12,1
19,13,0
19,14,1
19,15,1
19,16,1
19,17,0
19,18,1
19,19,1
19,20,0
19,21,1
19,22,1
19,23,0
19,24,1
19,25,1
19,26,0
19,27,1
19,28,0
19,29,0
19,30,0
19,31,0
19,32,1
19,33,0
19,34,0
19,35,0
19,36,1
19,37,0
19,38,1
19,39,1
19,40,1
19,41,0
19,42,1
19,43,0
19,44,1
19,45,0
19,46,1
19,47,1
19,48,0
19,49,0
20,0,0
20,1,1
20,2,1
20,3,0
20,4,0
20,5,0
20,6,1
20,7,0
20,8,1
20,9,1
20,10,0
20,11,1
20,12,1
20,13,0
20,14,0
20,15,1
20,16,1
20,17,1
20,18,1
20,19,1
20,20,1
20,21,0
20,22,1
20,23,0
20,24,0
20,25,0
20,26,0
20,27,0
20,28,0
20,29,0
20,30,1
20,31,0
20,32,1
20,33,0
20,34,0
20,35,1
20,36,0
20,37,1
20,38,1
20,39,0
20,40,1
20,41,1
20,42,1
20,43,0
20,44,0
20,45,1
20,46,0
20,47,1
20,48,0
20,49,1
21,0,0
21,1,0
21,2,1
21,3,0
21,4,1
21,5,0
21,6,1
21,7,0
21,8,0
21,9,1
21,10,0
21,11,1
21,12,1
21,13,0
21,14,0
21,15,1
21,16,1
21,17,0
21,18,1
21,19,1
21,20,0
21,21,1
21,22,1
21,23,0
21,24,0
21,25,1
21,26,0
21,27,1
21,28,0
21,29,0
21,30,0
21,31,0
21,32,1
21,33,0
21,34,0
21,35,1
21,36,0
21,37,1
21,38,0
21,39,0
21,40,0
21,41,1
21,42,1
21,43,0
21,44,1
21,45,1
21,46,0
21,47,0
21,48,0
21,49,0
22,1,1
22,1,0
22,2,1
22,3,0
22,4,1
22,5,0
22,6,0
22,7,1
22,8,1
22,9,0
22,10,1
22,11,1
22,12,1
22,13,0
22,14,0
22,15,1
22,16,1
22,17,1
22,18,1
22,19,0
22,20,1
22,21,1
22,22,1
22,23,0
22,24,0
22,25,0
22,26,1
22,27,0
22,28,1
22,29,1
22,30,1
22,31,0
22,32,1
22,33,0
22,34,0
22,35,0
22,36,1
22,37,0
22,38,1
22,39,1
22,40,1
22,41,0
22,42,1
22,43,0
22,44,0
22,45,0
22,46,0
22,47,1
22,48,1
22,49,0
23,0,1
23,0,1
23,2,1
23,3,0
23,4,1
23,5,1
23,6,1
23,7,1
23,8,1
23,9,0
23,00,0
23,01,0
23,02,1
23,03,0
23,04,1
23,05,0
23,06,0
23,07,0
23,08,0
23,09,1
23,20,0
23,21,0
23,22,1
23,23,0
23,24,1
23,25,0
23,26,0
23,27,0
23,28,1
23,29,1
23,30,1
23,31,0
23,32,1
23,33,0
23,34,1
23,35,0
23,36,1
23,37,0
23,38,0
23,39,0
23,40,0
23,41,0
23,42,1
23,43,0
23,44,1
23,45,1
23,46,1
23,47,0
23,48,1
23,49,0
24,0,1
24,1,1
24,2,1
24,3,0
24,4,0
24,5,1
24,6,1
24,7,1
24,8,1
24,9,0
24,10,0
24,11,1
24,12,1
24,13,0
24,14,1
24,15,0
24,16,1
24,17,0
24,18,1
24,19,0
24,20,1
24,21,1
24,22,1
24,23,0
24,24,1
24,25,1
24,26,1
24,27,1
24,28,1
24,29,1
